SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,RNDYNB_14,RNDYNB_15,RNDYNB_16,RNDYNB_17,RNFLQTY_14,RNFLQTY_15,RNFLQTY_16,RNFLQTY_17,WETRCON,CLMTCON,HHTEMP,LOWTEMP,SMHHTEMP_14,SMHHTEMP_15,SMHHTEMP_16,SMHHTEMP_17,WNTLWTEMP_14,WNTLWTEMP_15,WNTLWTEMP_16,WNTLWTEMP_17
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001001,Myitkyina,မြစ်ကြီးနား,106,106,106,106,84.34,84.34,84.34,84.34,3,0,40,8.5,40,38.5,38.6,28,8.9,8.9,8.5,8.5
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001002,Waingmaw,ဝိုင်းမော်,78,72,70,unknown,60.26,57.94,33.47,unknown,2,1,36,20,38,34,36,0,24,20,20,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001003,Injangyang,အင်ဂျန်းယန်,48,79,78,11,53.64,60.59,62.28,5.82,2,1,32,15,32,32,32,32,12,12,15,15
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001004,Tanai,တနိုင်း,106,13,34,0,77.27,2.34,9.91,unknown,2,1,38,9,37,35,38,0,12,8,9,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001005,Chipwi,ချီဗွေ,77,112,103,unknown,74.38,79.83,78.7,unknown,0,0,38,4,38,36,38,0,8,8,4,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001006,Tsawlaw,ဆော့လော်,106,129,105,16,55.04,108.56,107.02,32.45,2,1,38,8,38,38,38,38,8,8,8,8
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001007,Mohnyin,မိုးညှင်း,98,109,108,5,65.68,70.62,67.12,1.58,2,1,38.3,5,39,38.5,38.5,34,5.5,7,7,11
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001008,Mogaung,မိုးကောင်း,107,123,105,96,80.6,88.35,74.02,69.68,2,1,39.5,17.5,39,38,39.5,39.5,8,8.5,8,17.5
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001009,Hpakant,ဖားကန့်,133,132,122,58,123,117.54,74.62,43.77,1,1,38,10,40.9,38.3,39.4,35,6.4,2.7,5.5,5.5
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001010,Bhamo,ဗန်းမော်,88,95,92,83,65,56.42,53.62,61.21,2,1,41,7.2,40.3,39.4,40.2,40,8,7,7.9,7.2
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001011,Shwegu,ရွှေကူ,80,85,92,76,41.43,53.21,46.29,39.14,2,1,40.1,7.2,40.3,39.2,40.1,31.3,8,7.3,7.2,7.2
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001012,Momauk,မိုးမောက်,unknown,unknown,unknown,229,unknown,unknown,unknown,240.85,2,1,40,6.5,0,0,0,40,0,0,0,6.5
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001013,Mansi,မန်စီ,unknown,unknown,unknown,74,unknown,unknown,unknown,67.7,2,1,75,36,0,0,0,75,0,0,0,36
